Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RN ten Doeschate (NED),2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1,130,29
Shubman Gill (IND),2019-2023,35,35,6,1917,208,66.1,1864,102.84,6,9,1,213,40
DJ Malan (ENG),2019-2023,22,22,4,1060,134,58.88,1112,95.32,5,5,5,102,23
HE van der Dussen (SA),2019-2023,50,44,10,1982,134,58.29,2217,89.4,5,12,1,153,35
Babar Azam (PAK),2015-2023,109,106,12,5414,158,57.59,6087,88.94,19,28,4,488,56
V Kohli (IND),2008-2023,282,270,41,13168,183,57.5,14066,93.61,47,67,15,1232,142
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,840,204
DP Conway (NZ),2021-2023,24,23,3,1058,152*,52.9,1183,89.43,5,3,1,124,16
T Bavuma (SA),2016-2023,31,30,4,1375,144,52.88,1506,91.3,5,4,1,130,20
Ibrahim Zadran (AFG),2019-2023,20,20,2,933,162,51.83,1105,84.43,4,4,2,96,14
IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,216,3
MS Dhoni (Asia/IND),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,826,229
SD Hope (WI),2016-2023,118,113,15,4940,170,50.4,6425,76.88,15,24,5,401,82
HT Tector (IRE),2020-2023,40,37,6,1552,140,50.06,1840,84.34,4,11,3,121,40
Imam-ul-Haq (PAK),2017-2023,67,66,6,2991,151,49.85,3640,82.17,9,19,3,232,30
KL Rahul (IND),2016-2023,62,59,11,2388,112,49.75,2729,87.5,6,16,2,185,54
HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
JE Root (ENG),2013-2023,163,152,23,6323,133*,49.01,7290,86.73,16,37,8,503,48
RG Sharma (IND),2007-2023,252,244,36,10112,264,48.61,11176,90.47,30,52,16,928,292
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80
JN Malan (SA),2020-2022,23,22,2,958,177*,47.9,1150,83.3,3,4,2,97,16
KS Williamson (NZ),2010-2023,161,153,16,6554,148,47.83,8094,80.97,13,42,5,594,51
Aqib Ilyas (OMA),2019-2023,25,23,2,1004,109*,47.8,1255,80,2,7,-,97,10
Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,213,22
LRPL Taylor (NZ),2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,713,147
F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66
AT Rayudu (IND),2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30
GM Turner (NZ),1973-1983,41,40,6,1598,171*,47,2348,68.05,3,9,1,156,7
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7,600,126
DJ Mitchell (NZ),2021-2023,31,27,4,1073,129,46.65,1158,92.65,4,3,-,85,24
AC Voges (AUS),2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,-,61,10
MG Erasmus (NAM),2019-2023,40,39,4,1593,125,45.51,1993,79.92,2,12,3,121,35
TLW Cooper (NED),2010-2023,32,31,2,1319,101,45.48,1814,72.71,1,12,-,115,8
Q de Kock (SA),2013-2023,146,146,7,6276,178,45.15,6534,96.05,18,30,4,726,100
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,470,81
SS Iyer (IND),2017-2023,48,43,3,1801,113*,45.02,1843,97.72,3,14,1,176,37
DA Warner (AUS),2009-2023,151,149,6,6438,179,45.02,6685,96.3,20,31,4,689,106
Fakhar Zaman (PAK),2017-2023,79,78,5,3284,210*,44.98,3573,91.91,10,15,6,380,56
JM Bairstow (ENG),2011-2023,99,90,8,3686,141*,44.95,3550,103.83,11,15,8,414,90
Haris Sohail (PAK),2013-2023,45,44,5,1749,130,44.84,2046,85.48,2,14,1,138,28
SR Tendulkar (IND),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380,64
MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137
SPD Smith (AUS),2010-2023,146,130,15,5100,164,44.34,5836,87.38,12,30,7,451,49
S Dhawan (IND),2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,636,87
Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,-,42,6,342,83
DA Miller (SA),2010-2023,161,138,42,4129,139,43.01,3979,103.76,5,23,9,308,120
Imad Wasim (PAK),2015-2020,55,40,17,986,63*,42.86,894,110.29,-,5,1,91,19
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,480,58
WA Young (NZ),2021-2023,24,24,3,888,120,42.28,1029,86.29,2,6,3,91,16
JWA Taylor (ENG),2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2,69,12
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,334,16
KIC Asalanka (SL),2021-2023,42,37,5,1351,110,42.21,1490,90.67,1,10,2,112,26
Ishan Kishan (IND),2021-2023,26,23,2,886,210,42.19,866,102.3,1,7,1,90,31
KM Jadhav (IND),2014-2020,73,52,19,1389,120,42.09,1367,101.6,2,6,2,141,24
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162
UT Khawaja (AUS),2013-2019,40,39,2,1554,104,42,1848,84.09,2,12,2,150,13
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88
Asif Khan (UAE),2022-2023,30,29,4,1049,151*,41.96,1230,85.28,3,5,2,81,39
MJ Guptill (NZ),2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16,750,187
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,785,90
Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8,445,44
S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,722,85
JC Buttler (ENG),2012-2023,170,143,26,4866,162*,41.58,4129,117.84,11,25,13,394,164
CJ Ferguson (AUS),2009-2011,30,25,9,663,71*,41.43,777,85.32,-,5,-,64,0
DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,768,53
TM Head (AUS),2016-2023,58,55,5,2064,152,41.28,2074,99.51,3,15,2,227,40
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,293,76
H Klaasen (SA),2018-2023,42,39,6,1355,174,41.06,1205,112.44,3,5,2,120,44
SC Ganguly (Asia/IND),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190
AD Mathews (SL),2008-2023,221,191,48,5865,139*,41.01,7058,83.09,3,40,16,464,89
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22
SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,427,77
Rameez Shahzad (UAE),2016-2023,26,26,3,936,121*,40.69,1164,80.41,2,5,1,81,21
GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,222,57
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
BA Stokes (ENG),2011-2023,108,93,15,3159,182,40.5,3278,96.36,4,22,6,256,98
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133
NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,327,21
Fawad Alam (PAK),2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3,59,6
GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,195,7
BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2,81,3
GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22
JJ Roy (ENG),2015-2023,116,110,3,4271,180,39.91,4047,105.53,12,21,11,511,81
KWR Fletcher (ENG),1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,-,64,6
A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
G Gambhir (IND),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
M van Lingen (NAM),2021-2023,28,27,5,873,133,39.68,951,91.79,4,2,2,90,20
N Pooran (WI),2019-2023,61,58,8,1983,118,39.66,2000,99.15,3,11,3,157,80
CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,160,30
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,971,144
NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,140,20
ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57
AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,328,30
EJG Morgan (ENG/IRE),2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18,654,220
